Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.0,-50,0.5475388897097924,0.0001105302136904518,0.8368421052631579
0.0,-40,0.5346777235410737,0.00011424823814498719,0.8368421052631579
0.0,-30,0.5229634154733719,0.00011764662708418916,0.8368421052631579
0.0,-20,0.511966632730312,0.00012131057950809376,0.8368421052631579
0.0,-10,0.4848532250227702,0.00013534318852576055,0.8368421052631579
0.0,-9,0.4636993767163409,0.00015385847048215995,0.8368421052631579
0.0,-8,0.4469129875025506,0.00016987710861018912,0.8368421052631579
0.0,-7,0.433610710209036,0.00017566817285286085,0.8368421052631579
0.0,-6,0.4232652382676378,0.00016935648985152985,0.8368421052631579
0.0,-5,0.4154177815722422,0.0001543413454823117,0.8368421052631579
0.0,-4,0.4095519192115377,0.00013439853835570115,0.8368421052631579
0.0,-3,0.4051543320981208,0.00011108960678896107,0.8368421052631579
0.0,-2,0.40179677364675015,8.427563860316512e-05,0.8368421052631579
0.0,-1,0.8493522855028162,4.0680640798762546e-05,0.17105263157894737
0.0,0,0.7995819222157724,4.5356715612676624e-05,0.17105263157894737
0.0,1,0.7616149085639652,3.3548270983896344e-05,0.17105263157894737
0.0,2,0.7281632869904232,4.324916613729357e-06,0.17105263157894737
0.0,3,0.6381569865577799,-3.026394673999455e-05,0.8289473684210527
0.0,4,0.5703898666461187,5.836257960356583e-06,0.8289473684210527
0.0,5,0.5193042259936264,8.262813399867452e-05,0.8289473684210527
0.0,6,0.481024139349321,0.0002196234156628396,0.8289473684210527
0.0,7,0.4536142463429514,0.0003945370896752398,0.8289473684210527
0.0,8,0.43537567958958134,0.0005698629872482874,0.8289473684210527
0.0,9,0.4240145434775681,0.0007175802409643273,0.8289473684210527
0.0,10,0.4171791910825224,0.0008273032269564551,0.8289473684210527
0.0,20,0.4130792364042082,0.0009007550703876155,0.8289473684210527
0.0,30,0.48105090422134994,-3.273763594552337e-05,0.8285087719298245
0.0,40,0.4739905384241574,-3.4693737593918805e-05,0.8285087719298245
0.0,50,0.46795217134933864,-3.5204214859044236e-05,0.8285087719298245
0.033,-50,0.46240852441646935,-3.282700506207492e-05,0.8285087719298245
0.033,-40,0.44924317212247306,1.5411969992662478e-05,0.8285087719298245
0.033,-30,0.4403991307161119,0.00015506506953688604,0.8285087719298245
0.033,-20,0.43334432881936985,0.0003605093242760593,0.8285087719298245
0.033,-10,0.42734929865854115,0.0005869484683237447,0.8285087719298245
0.033,-9,0.42222124352766405,0.000802739299332722,0.8285087719298245
0.033,-8,0.41780240171883654,0.0009951269572146815,0.8285087719298245
0.033,-7,0.4139538843883763,0.001163702433812086,0.8285087719298245
0.033,-6,0.4105600018326519,0.0013130644721592033,0.8285087719298245
0.033,-5,0.40752762513614044,0.0014487234323647125,0.8285087719298245
0.033,-4,0.8453566186340211,4.587143861878307e-05,0.15482456140350878
0.033,-3,0.7976617492555345,3.3025422126020665e-05,0.15482456140350878
0.033,-2,0.7597006003687864,8.848531496297163e-06,0.15482456140350878
0.033,-1,0.7248009691560333,-1.913581532075881e-05,0.15482456140350878
0.033,0,0.6307587661333905,-5.362219704946325e-05,0.8451754385964912
0.033,1,0.559976708076409,-5.676410780480756e-05,0.8451754385964912
0.033,2,0.506015215952838,-5.3657789391314825e-05,0.8451754385964912
0.033,3,0.46509908183760024,-3.8432038950042546e-05,0.8451754385964912
0.033,4,0.4352753183363551,-2.484624184284634e-05,0.8451754385964912
