Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.39720589961059644,-0.0019141367609939175,0.8245614035087719,0.46110859027290485,9.646202321883512e-06,0.8245614035087719,0.6887682651700264,-4.79442030509869e-06,0.8245614035087719
0.033,0.3947465359470826,-0.0019571402358856127,0.8245614035087719,0.45730933948588975,-2.4439058087827314e-05,0.8245614035087719,0.6615714702222578,-3.27450325284806e-05,0.8245614035087719
0.066,0.392401067200012,-0.001999494475698277,0.825,0.4500401361026217,-0.00015252542753060871,0.8245614035087719,0.6367163282953129,-6.218516450473555e-05,0.8245614035087719
0.1,0.3900855089205407,-0.00204182090791985,0.8276315789473684,0.4414909959506022,-0.00028720992724090566,0.8245614035087719,0.6130524025353155,-0.0001161362494110918,0.8245614035087719
0.2,0.3837314135436639,-0.002153922706251199,0.8315789473684211,0.42112877704874746,-0.000606030649425493,0.8245614035087719,0.5495136507442917,-0.0003829614915820678,0.8245614035087719
0.3,0.37786071659909315,-0.002246525433669072,0.8328947368421052,0.4065898834821862,-0.0008496967885215645,0.8245614035087719,0.49300461735156575,-0.0006309747886732997,0.8245614035087719
0.4,0.3723526153913806,-0.0023144001943136983,0.8368421052631579,0.39513504450002024,-0.0010787467912742599,0.8245614035087719,0.44537596250484346,-0.0008497231355859003,0.8263157894736842
0.5,0.36718197113051926,-0.0023533384484752395,0.8412280701754385,0.385189389401786,-0.001318208453020886,0.8245614035087719,0.40948576275393406,-0.0011626310495594372,0.831140350877193
0.6,0.3623537120729393,-0.0023675635501282377,0.843421052631579,0.37606321091859746,-0.0015567960359783861,0.8285087719298245,0.38555282953336234,-0.0015314235911108587,0.8364035087719298
0.7,0.35787444150756537,-0.002366328882556834,0.8464912280701754,0.3675776380406252,-0.001777245544349243,0.8346491228070175,0.3702318189582595,-0.001854254280442974,0.8429824561403508
0.8,0.353742712897331,-0.0023601249782719547,0.8539473684210527,0.35976795489188224,-0.001979625267898688,0.8412280701754385,0.35988450771701735,-0.002083618393681347,0.8473684210526315
0.9,0.349947611287955,-0.0023581555903894325,0.8565789473684211,0.35271482272073645,-0.002172917273726843,0.8521929824561404,0.35233202751947357,-0.0022409135299872596,0.855701754385965
1.0,0.34647104801920636,-0.002367119863911027,0.8570175438596491,0.34647104801920636,-0.002367119863911027,0.8570175438596491,0.34647104801920636,-0.002367119863911027,0.8570175438596491
