Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.47072839817314666,-0.0008653017787819683,0.8202429149797571,0.6688963150221452,0.00015206397252204296,0.6194331983805668,0.6956776011673022,-3.224945954971581e-05,0.3805668016194332
0.033,0.4653778884227478,-0.0010899525470829952,0.8234817813765182,0.6604124121958092,0.00014133038145131005,0.6194331983805668,0.6911493861596792,-3.926703696033318e-05,0.6194331983805668
0.066,0.4600983423743084,-0.001320807763834364,0.8226720647773279,0.6504046843981697,0.00019325759794913688,0.6194331983805668,0.6863732673013321,-6.132016688864539e-05,0.6194331983805668
0.1,0.4547181566282204,-0.0015643133782029528,0.8234817813765182,0.6384349654071375,0.0003563374083051518,0.6194331983805668,0.6793829619974121,-8.97084668791126e-05,0.6210526315789474
0.2,0.43911416907560347,-0.002307644320709401,0.8234817813765182,0.596880805773803,0.0010024810255617744,0.6469635627530365,0.6371122744901562,2.5119640301718427e-06,0.7522267206477733
0.3,0.4236156308099141,-0.0030845315637264004,0.8331983805668016,0.5539584673940388,0.0012812359840434495,0.7506072874493928,0.5837699832905692,-0.00011893569496057577,0.7910931174089069
0.4,0.40800979363604345,-0.003895373306339045,0.8348178137651822,0.5142031186234166,0.0009358451510128041,0.7951417004048583,0.5367312449268654,-0.00048507296116862,0.8048582995951417
0.5,0.39217073469326275,-0.004750870579059374,0.8364372469635628,0.47761701568176973,7.071739135444677e-06,0.8186234817813766,0.4905061149389797,-0.001290540996010059,0.8234817813765182
0.6,0.37606031097821696,-0.005669420112974555,0.8396761133603239,0.4431002538036555,-0.001366506592044181,0.8251012145748988,0.45038081159333154,-0.0026138648661516717,0.8299595141700404
0.7,0.3597279545537903,-0.006671857007857718,0.8461538461538461,0.40954960774637406,-0.0030747871445723773,0.8348178137651822,0.41352631412175145,-0.004179664594597177,0.8348178137651822
0.8,0.34330293127919664,-0.007773746947371929,0.8550607287449393,0.3762482620701657,-0.005102767126957564,0.8388663967611336,0.3782279813569978,-0.0059238249766046525,0.8461538461538461
0.9,0.32697320004954256,-0.00897782029276395,0.8631578947368421,0.3431512441849757,-0.007502466613305558,0.8566801619433199,0.3438867621070497,-0.007937369152650198,0.8550607287449393
1.0,0.3109518064398686,-0.010271038805973076,0.8704453441295547,0.3109518064398686,-0.010271038805973076,0.8704453441295547,0.3109518064398686,-0.010271038805973076,0.8704453441295547
