Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.46755865007786973,6.42432698347295e-06,0.8122807017543859,0.47926317885753433,2.15816197693397e-05,0.8122807017543859,0.694010738889156,-1.1621230877612021e-07,0.24517543859649124
0.033,0.4662846618933057,1.7041556043262407e-05,0.8122807017543859,0.47890125977889836,2.1022986258750764e-05,0.8122807017543859,0.6677675030084506,-1.3262335812669335e-05,0.8122807017543859
0.066,0.464967338445562,3.1252329172226645e-05,0.8122807017543859,0.4784165011907913,1.9977993823666607e-05,0.8122807017543859,0.6438191960412329,-1.5128509864181794e-05,0.8122807017543859
0.1,0.4635727035779171,4.9548891943029805e-05,0.8122807017543859,0.4777560650794393,1.8086546434370465e-05,0.8122807017543859,0.6215536237411833,-9.069143630413556e-06,0.8122807017543859
0.2,0.459345062457881,0.00012270265016078863,0.8122807017543859,0.4745504876610266,4.6764410483457475e-06,0.8122807017543859,0.5683446882676996,2.673297769317795e-06,0.8122807017543859
0.3,0.45514139094932526,0.00021746610002165712,0.8122807017543859,0.4695685298877806,-4.52790154992222e-06,0.8122807017543859,0.5291702288276613,1.3235014078794016e-05,0.8122807017543859
0.4,0.45117602282392205,0.0003223889973726912,0.8122807017543859,0.4636966913344786,3.9736176242283205e-05,0.8122807017543859,0.4999917617048989,5.984900647870717e-05,0.8122807017543859
0.5,0.44755444074107786,0.0004268208682909336,0.8122807017543859,0.45747633365615925,0.0001432069967526317,0.8122807017543859,0.47812006819316827,0.00016618646744354093,0.8122807017543859
0.6,0.44429419782151813,0.0005228875256459431,0.8122807017543859,0.4515432192528066,0.0002824358051597142,0.8122807017543859,0.4620119334477103,0.0003187050721996376,0.8122807017543859
0.7,0.4413656161071123,0.0006056990171916521,0.8122807017543859,0.446244946334986,0.0004297034658204135,0.8122807017543859,0.45062476119121403,0.0004790853987931831,0.8122807017543859
0.8,0.4387221123786089,0.0006729321197764537,0.8122807017543859,0.44163401746926484,0.0005646113339710934,0.8122807017543859,0.44289161235521757,0.0006137415178281425,0.8122807017543859
0.9,0.43631638165134773,0.0007242596493506892,0.8122807017543859,0.4376269540537218,0.0006761082473411006,0.8122807017543859,0.4376939364567749,0.0007075596754567426,0.8122807017543859
1.0,0.43410700132390384,0.0007607552762469438,0.8122807017543859,0.43410700132390384,0.0007607552762469438,0.8122807017543859,0.43410700132390384,0.0007607552762469438,0.8122807017543859
