Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.4106623430652757,0.0008879082802611682,0.8122807017543859,0.4803501097703763,1.8736899547011632e-05,0.8122807017543859,0.6935884840466492,-9.295947645759917e-06,0.4280701754385965
0.033,0.4081933571027132,0.0008880280841083443,0.8127192982456141,0.4765343098630469,1.7002358341677848e-05,0.8122807017543859,0.666179303093528,-2.1009716613673568e-05,0.8122807017543859
0.066,0.40581883010759945,0.0008882990995990603,0.8144736842105263,0.4680506344892342,-6.202936450705465e-06,0.8122807017543859,0.64129234280864,2.7663313183490246e-06,0.8122807017543859
0.1,0.4034554986625831,0.000888552907200274,0.8166666666666667,0.45857641116214415,5.6838829973898664e-05,0.8122807017543859,0.6175332925722815,6.61288934902804e-05,0.8122807017543859
0.2,0.3968910311567075,0.0008859010119602329,0.8214912280701754,0.4374917179924678,0.000280441805485504,0.8122807017543859,0.5545064099817617,0.00036307596032286726,0.8122807017543859
0.3,0.390771328253129,0.0008676327241850523,0.8267543859649122,0.42253324410914833,0.0004452253727952882,0.8122807017543859,0.5000703819720669,0.0005792258334854083,0.8122807017543859
0.4,0.38501782489468617,0.0008182832428689502,0.8324561403508772,0.4105671112778472,0.0005609728810572201,0.8122807017543859,0.45470398736881323,0.0007298406170962446,0.8188596491228071
0.5,0.3796273955259503,0.0007326627661413121,0.8364035087719298,0.40000964566195546,0.0006168489155984336,0.8122807017543859,0.4202876726405032,0.0008610175399712261,0.8245614035087719
0.6,0.3746128593395117,0.0006120159224172195,0.8429824561403508,0.39020116820138495,0.0005994021130200922,0.8179824561403509,0.3969512255505782,0.000901039359591127,0.8333333333333334
0.7,0.3699771313062724,0.000460270232477189,0.8442982456140351,0.38104653859388027,0.0005095952528365311,0.8276315789473684,0.3817853320575616,0.0007949164193190861,0.8429824561403508
0.8,0.3657099024819688,0.000282930293356215,0.8460526315789474,0.37261563738806713,0.00035362286275167354,0.8403508771929824,0.37149433046737507,0.0005584836508251145,0.843859649122807
0.9,0.36179121128216996,8.606617511519588e-05,0.8482456140350877,0.36498655594619483,0.00013917312921343794,0.8460526315789474,0.36399896449588903,0.0002381304156806041,0.8469298245614035
1.0,0.3581964207922847,-0.00012470160882754877,0.8486842105263158,0.3581964207922847,-0.00012470160882754877,0.8486842105263158,0.3581964207922847,-0.00012470160882754877,0.8486842105263158
