,0
0,5.85107513138964e-05
1,0.008100981007051216
2,0.9999999969628608
3,0.9115924124643578
4,2.7385715587993884e-08
5,1.0
6,0.0012630209801032328
7,0.9999319632841769
8,2.5485658824595158e-08
9,0.017057669759338492
10,6.122710589475536e-06
11,0.17262328840743585
12,2.813306203794376e-09
13,2.113664648722851e-10
14,0.9999980414886058
15,0.9999987695986634
16,0.9999999841000655
17,0.9983998916547431
18,0.9999999996846238
19,1.274152083815123e-11
20,0.999999999999559
21,0.0007048378073127059
22,0.9999999996015729
23,1.3534775969238824e-15
24,0.00013857020428413024
25,2.436834763649106e-09
26,0.9999999999999813
27,0.0011699134711392768
28,2.0656353083414774e-10
29,0.999999999999988
30,0.2968714453449688
31,2.615198112563973e-07
32,0.00019698942126854542
33,0.23719763366454794
34,0.9491869897947697
35,0.9999999999999694
36,0.0002024573944912872
37,6.744359800303693e-06
38,4.532586200226666e-08
39,5.83832171675516e-11
40,0.9999999999999913
41,0.0002059399026572922
42,1.0
43,0.01244872924170624
44,0.008598743819733514
45,0.11305564958626096
46,5.544223975334919e-05
47,1.2733284506447412e-10
48,8.878109234341032e-10
49,5.4333603674820516e-05
50,0.0025339900907766976
51,0.9999824757481495
52,2.4204912204659192e-06
53,1.6090791511483193e-12
54,0.001378621078054659
55,0.00600589023943194
56,4.330086003885067e-06
57,0.0002303929706282837
58,7.458408640568464e-16
59,3.639904418193366e-10
60,2.7184540934154485e-17
61,0.9999744371098241
62,0.9999999765652662
63,0.9998334544244047
64,1.7128035764062885e-08
65,2.3652980017787313e-05
66,1.2702541209373118e-14
67,0.9999999999991569
68,0.0006743067019509851
69,0.9999981033408587
70,0.9999999979871885
71,1.0
72,0.9999999999997482
73,2.9854009679601287e-05
74,1.0
75,0.9999999834199029
76,7.517583834932519e-16
77,0.9999865884067929
78,5.538977541225029e-14
79,0.0019141237503154333
80,6.565078995563984e-15
81,1.8308066526331748e-11
82,0.9999999999999962
83,0.9999999969561473
84,1.1251012222125042e-05
85,1.0
86,0.999999996617223
87,1.632529889336896e-14
88,0.9880580314206757
89,0.999999999878399
90,3.6657561822000766e-09
91,9.967750560295716e-10
92,1.0
93,3.9623178578124994e-05
94,0.9999999999975611
95,0.9999999999983069
96,6.72840800543124e-19
97,0.9999999999999936
98,1.0
99,0.9999999999956752
100,0.9966592095370959
101,0.9999999999975826
102,0.00048295863916063075
103,0.9999999998915885
104,1.0
105,3.3599028703155517e-07
106,0.7129432265554855
107,1.4505196462468745e-17
108,0.41472628957142377
109,1.4908469440346662e-08
110,1.3397438485524549e-06
111,3.211228027180073e-07
112,0.19946483998365563
113,1.0
114,0.016104689150795763
115,0.9999999999994171
116,0.930840196368561
117,8.44983749640392e-10
118,4.626730649935061e-18
119,0.9122430013355194
120,2.4516510342502206e-07
121,0.9999999999999987
122,8.144698781754483e-06
123,0.004848120133669406
124,0.004919600198021483
125,0.009816879398000609
126,0.9999997683571192
127,1.3427550341985037e-06
128,2.8505423896040354e-20
129,0.999998081868821
130,0.9999999868475591
131,8.082232832089749e-13
132,0.05318055171121976
133,0.009349754490879754
