Alpha_Ganite,Alpha,Loss YCF Ganite,ATE YCF Ganite
-5,0.0,16.65066909790039,0.11381313478414477
-5,0.033,16.45503807067871,0.1315801313303281
-5,0.066,16.27989387512207,0.12981496034407158
-5,0.1,16.367246627807617,0.12593457541837055
-5,0.2,16.217140197753906,0.13641627929994518
-5,0.3,16.274991989135742,0.13227626232942902
-5,0.4,16.462820053100586,0.12516689724971342
-5,0.5,16.655956268310547,0.11129983464242933
-5,0.6,16.319242477416992,0.12320022665362972
-5,0.7,16.254173278808594,0.1308848291410113
-5,0.8,16.17746353149414,0.13678664548716052
-5,0.9,16.233020782470703,0.13201805092749513
-5,1.0,16.087665557861328,0.14877254822854546
-4,0.0,12.616670608520508,0.24282862477052253
-4,0.033,12.488167762756348,0.24985494458718646
-4,0.066,12.593396186828613,0.2437802354992627
-4,0.1,12.68891429901123,0.2410246966927984
-4,0.2,12.670312881469727,0.24518977543734116
-4,0.3,12.698835372924805,0.25325571546686726
-4,0.4,12.699337005615234,0.24005329302712344
-4,0.5,12.540105819702148,0.25505139012871436
-4,0.6,12.550395965576172,0.2424766789172164
-4,0.7,12.667441368103027,0.24905051047249893
-4,0.8,12.73935317993164,0.2418873385834128
-4,0.9,12.587238311767578,0.24026079029147437
-4,1.0,12.54606819152832,0.24948614568841093
-3,0.0,15.352384567260742,0.30647163162257046
-3,0.033,15.334758758544922,0.3049022903481009
-3,0.066,15.267251014709473,0.31285177531719083
-3,0.1,15.095102310180664,0.3140761539131557
-3,0.2,15.319073677062988,0.3029195417606295
-3,0.3,15.296104431152344,0.31063127799160395
-3,0.4,15.213220596313477,0.30018582881663936
-3,0.5,15.196602821350098,0.3131107671661812
-3,0.6,15.234916687011719,0.30627878422108673
-3,0.7,15.356409072875977,0.3042368523074851
-3,0.8,15.224570274353027,0.29943802521070256
-3,0.9,15.371453285217285,0.3202966337121546
-3,1.0,15.364773750305176,0.3041193425445448
-2,0.0,10.810282707214355,0.11533608122529782
-2,0.033,10.848230361938477,0.1331454091138391
-2,0.066,10.966952323913574,0.13987732102186656
-2,0.1,10.777071952819824,0.11712678480193883
-2,0.2,10.915846824645996,0.126297183660455
-2,0.3,10.970836639404297,0.12659053383067348
-2,0.4,10.811662673950195,0.12104571750913096
-2,0.5,10.781888008117676,0.12403087645704103
-2,0.6,10.815652847290039,0.11678808607164276
-2,0.7,10.85670280456543,0.12366872062464734
-2,0.8,10.874068260192871,0.13036400761459704
-2,0.9,11.000189781188965,0.12971666195779946
-2,1.0,10.890288352966309,0.12774387433592976
-1,0.0,20.87944793701172,0.1702443782118054
-1,0.033,20.754552841186523,0.17154387183264108
-1,0.066,20.602807998657227,0.166755014722338
-1,0.1,20.632261276245117,0.17199372588857306
-1,0.2,20.747962951660156,0.1722394333623587
-1,0.3,20.63733673095703,0.1682078630789759
-1,0.4,20.90206527709961,0.16966027023690744
-1,0.5,20.70321273803711,0.16631198963141564
-1,0.6,20.719432830810547,0.16833480512044086
-1,0.7,20.647506713867188,0.16899971109036618
-1,0.8,20.740819931030273,0.16754959231126007
-1,0.9,20.462316513061523,0.164157910749972
-1,1.0,20.69474220275879,0.16635992370991004
0,0.0,13.628134727478027,-0.02249919480106341
0,0.033,13.545918464660645,-0.02265489413320501
0,0.066,13.337848663330078,-0.006990522070548663
0,0.1,13.599281311035156,-0.011211165540484819
0,0.2,13.583253860473633,-0.014517092859873626
0,0.3,13.519105911254883,-0.014961501835716678
0,0.4,13.503454208374023,-0.024116659954893413
0,0.5,13.590126037597656,-0.019042031172407187
0,0.6,13.559948921203613,-0.02557471582544829
0,0.7,13.596055030822754,-0.02699894141162612
0,0.8,13.44747257232666,-0.022626994255323635
0,0.9,13.529229164123535,-0.016893079021277985
0,1.0,13.510857582092285,-0.02284561268158755
1,0.0,12.130093574523926,-0.05005540930544795
1,0.033,12.196503639221191,-0.05373055284873546
1,0.066,12.23617172241211,-0.04329613955898905
1,0.1,12.207025527954102,-0.03869620795423151
1,0.2,12.058719635009766,-0.04217707267328103
1,0.3,12.192633628845215,-0.04349067915177273
1,0.4,12.122638702392578,-0.05110290456974906
1,0.5,12.253344535827637,-0.0531134452192781
1,0.6,12.14219856262207,-0.06230678714090078
1,0.7,12.161211013793945,-0.04994838819278758
1,0.8,12.132957458496094,-0.04418738155153265
1,0.9,12.156567573547363,-0.04104330227363734
1,1.0,12.157035827636719,-0.05268925107521256
2,0.0,8.884157180786133,0.3628358059927003
2,0.033,8.825752258300781,0.35978858534679387
2,0.066,8.835277557373047,0.3556640541182547
2,0.1,8.922664642333984,0.3607932533972293
2,0.2,8.937843322753906,0.36675787690997563
2,0.3,8.88019847869873,0.35520649266995524
2,0.4,8.867491722106934,0.3613663958244312
2,0.5,8.909671783447266,0.3602795338207986
2,0.6,8.918807029724121,0.35263756838137617
2,0.7,8.866366386413574,0.3587654372406645
2,0.8,8.890923500061035,0.3534195775299087
2,0.9,8.869075775146484,0.35515100949937095
2,1.0,8.912008285522461,0.35936837537499294
3,0.0,15.294368743896484,0.11359840340939922
3,0.033,15.229750633239746,0.12597333937795474
3,0.066,15.208538055419922,0.12263416726189938
3,0.1,15.195558547973633,0.12289881888321777
3,0.2,15.23458194732666,0.11920436669900075
3,0.3,15.173601150512695,0.12406741544246497
3,0.4,15.29266357421875,0.12057536636219357
3,0.5,15.413666725158691,0.11543070399438243
3,0.6,15.188043594360352,0.11863045822096416
3,0.7,15.242583274841309,0.12152849969115906
3,0.8,15.431347846984863,0.11672363592109275
3,0.9,15.349161148071289,0.1162943470672258
3,1.0,15.242342948913574,0.11843024963982593
4,0.0,16.40046501159668,0.5349570020465912
4,0.033,16.373565673828125,0.5366768923666801
4,0.066,16.2995662689209,0.53765276149991
4,0.1,16.501358032226562,0.5528060913080401
4,0.2,16.364330291748047,0.543468913313631
4,0.3,16.511545181274414,0.541940072434514
4,0.4,16.55268669128418,0.5391438334709981
4,0.5,16.407001495361328,0.5340790911554507
4,0.6,16.447084426879883,0.5317438548543002
4,0.7,16.430030822753906,0.5393670856708785
4,0.8,16.552827835083008,0.5423436811235731
4,0.9,16.41508674621582,0.5480570153245408
4,1.0,16.485069274902344,0.5461559537359675
5,0.0,17.51398468017578,0.20756073973460815
5,0.033,17.251829147338867,0.2165196339243694
5,0.066,17.203046798706055,0.21370730063022314
5,0.1,17.238304138183594,0.21865057922128806
5,0.2,17.126562118530273,0.2212582436446811
5,0.3,17.103029251098633,0.2199066299910804
5,0.4,17.233423233032227,0.21692360329569726
5,0.5,17.301254272460938,0.21173072280479638
5,0.6,17.272459030151367,0.2225796492276904
5,0.7,17.233501434326172,0.21512766789560123
5,0.8,17.220844268798828,0.21513346256305838
5,0.9,17.289283752441406,0.2187832547425717
5,1.0,17.328405380249023,0.21478186562074214
