Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.0,-50,0.8763884345699913,0.00015340457197754453,0.3651821862348178
0.0,-40,0.8468575835945245,0.0001078747464917651,0.3651821862348178
0.0,-30,0.8226728684259812,7.332768705492487e-05,0.3651821862348178
0.0,-20,0.8017819280851558,4.616144073321671e-05,0.3651821862348178
0.0,-10,0.7553454016610869,-3.646461177009286e-06,0.3651821862348178
0.0,-9,0.7215272207055609,-3.344317165365762e-05,0.3651821862348178
0.0,-8,0.6938777632483684,-7.24656651446276e-05,0.3651821862348178
0.0,-7,0.6695578228700432,-0.00015309880176739288,0.6979757085020243
0.0,-6,0.6473650441687137,-0.0002930882309497562,0.6510121457489878
0.0,-5,0.6279453180090409,-0.0005299335012337592,0.642914979757085
0.0,-4,0.6119359865550864,-0.0008621581153828717,0.6364372469635627
0.0,-3,0.5985613552034906,-0.0012501525479841624,0.6356275303643725
0.0,-2,0.5870726236369711,-0.0016736724204512443,0.6437246963562753
0.0,-1,0.669196228393414,-0.00019893457630232314,0.6145748987854251
0.0,0,0.667104906117272,-0.00022085176721453603,0.6145748987854251
0.0,1,0.6650295049568518,-0.00024266880396406343,0.6145748987854251
0.0,2,0.6628895463758816,-0.00026483357817058684,0.6145748987854251
0.0,3,0.6564690430021936,-0.00032682617211760023,0.6145748987854251
0.0,4,0.6497514343247969,-0.0003831466266816519,0.6145748987854251
0.0,5,0.6427437886163045,-0.0004351736617905777,0.6145748987854251
0.0,6,0.6355414315033636,-0.00048545197433530474,0.6145748987854251
0.0,7,0.6282571973230907,-0.000535268501938635,0.6145748987854251
0.0,8,0.6209860225176084,-0.0005838083356619617,0.6145748987854251
0.0,9,0.6137956155964747,-0.0006289355041156908,0.6145748987854251
0.0,10,0.6067298790637662,-0.0006682993443908325,0.6145748987854251
0.0,20,0.5998156117399862,-0.0006999892133974783,0.622672064777328
0.0,30,0.8532559998065847,0.0003533398015359568,0.3854251012145749
0.0,40,0.826008870175038,0.000303780965027034,0.3854251012145749
0.0,50,0.8038081591601306,0.00026155335336230934,0.3854251012145749
0.033,-50,0.7847430628400658,0.0002236777491420039,0.3854251012145749
0.033,-40,0.7429155431570652,0.00013388269523695318,0.3854251012145749
0.033,-30,0.7131182564544182,6.528620967849452e-05,0.3854251012145749
0.033,-20,0.6891667365606103,4.05413767639029e-05,0.3854251012145749
0.033,-10,0.6681533053009352,8.88602816294104e-05,0.6574898785425102
0.033,-9,0.6488228758525733,0.00021455706239570382,0.6210526315789474
0.033,-8,0.631737587176703,0.0004398035839602854,0.617004048582996
0.033,-7,0.6172242191948693,0.0007155329832266855,0.6145748987854251
0.033,-6,0.6045570907998853,0.000996039873075616,0.6153846153846154
0.033,-5,0.5934308926727705,0.001271104790093902,0.6186234817813765
0.033,-4,0.6646332554511902,6.950372686814754e-05,0.6412955465587045
0.033,-3,0.6619336843589596,7.794026296698009e-05,0.6412955465587045
0.033,-2,0.659275846630649,8.607003016269932e-05,0.6412955465587045
0.033,-1,0.6565613316696925,9.383293567549744e-05,0.6412955465587045
0.033,0,0.6485874270942624,0.00010995512580380673,0.6412955465587045
0.033,1,0.6404931329527738,0.0001088162077208521,0.6412955465587045
0.033,2,0.6322554806171123,8.029835979678213e-05,0.6412955465587045
0.033,3,0.6239483260460367,1.4377805449161674e-05,0.6412955465587045
0.033,4,0.6156721942115178,-9.748263140074709e-05,0.6412955465587045
0.033,5,0.6075157112293769,-0.0002613578513558368,0.6412955465587045
0.033,6,0.5995421092992956,-0.00048061202488253185,0.6412955465587045
0.033,7,0.5917899595561075,-0.0007562446951736024,0.642914979757085
0.033,8,0.5842793265653047,-0.0010875051336034502,0.6510121457489878
0.033,9,0.6579841875304373,-0.0002676486589432425,0.642914979757085
0.033,10,0.6556811992174815,-0.0002974575246864619,0.642914979757085
0.033,20,0.6533617442641309,-0.00032997563297720856,0.642914979757085
0.033,30,0.6509427120100298,-0.00036666273867219656,0.642914979757085
0.033,40,0.6435826206040614,-0.000496088360844027,0.642914979757085
0.033,50,0.6358028043545604,-0.00066056581070012,0.642914979757085
0.066,-50,0.6276431274249282,-0.0008582329972943725,0.642914979757085
0.066,-40,0.619212670339458,-0.0010811221438845608,0.642914979757085
0.066,-30,0.6106378222029558,-0.001317747492572241,0.642914979757085
0.066,-20,0.602032616193104,-0.0015562438335137152,0.642914979757085
0.066,-10,0.5934870058378012,-0.0017865643243640261,0.642914979757085
0.066,-9,0.5850659440709735,-0.002001340180504907,0.642914979757085
0.066,-8,0.5768133110511057,-0.0021957886895463963,0.6493927125506073
0.066,-7,0.8690610952594292,-2.5160797462731033e-05,0.3724696356275304
0.066,-6,0.8399254115097449,-5.036539806801965e-05,0.3724696356275304
0.066,-5,0.8161620293230747,-6.583923895775445e-05,0.3724696356275304
0.066,-4,0.7957275208060017,-7.478301318974978e-05,0.3724696356275304
0.066,-3,0.7507497122698312,-7.989609310976586e-05,0.3724696356275304
0.066,-2,0.718527454248482,-7.89433282841756e-05,0.3724696356275304
0.066,-1,0.6924221495393836,-0.00011119222651811977,0.3724696356275304
0.066,0,0.6692859554686743,-0.00022345758806235905,0.6939271255060728
0.066,1,0.6476684902102517,-0.0004318317317134057,0.6396761133603239
0.066,2,0.6280419556331803,-0.000781766597915623,0.6323886639676113
0.066,3,0.611084178860697,-0.0012488075515541541,0.6275303643724697
0.066,4,0.5962643299823168,-0.0017649830312694847,0.6275303643724697
0.066,5,0.5831896189554807,-0.002307601138145543,0.6340080971659919
0.066,6,0.8531480868616347,0.00036211075504999357,0.3797570850202429
0.066,7,0.8264320211106951,0.00031171245718819574,0.3797570850202429
0.066,8,0.8045411719546914,0.0002685230807322192,0.3797570850202429
0.066,9,0.7856413491110457,0.00022963393261765663,0.3797570850202429
0.066,10,0.7437637425414204,0.00013716066700508733,0.3797570850202429
0.066,20,0.713485261799093,6.742145312710335e-05,0.3797570850202429
0.066,30,0.6889314753105031,4.530280225445438e-05,0.3797570850202429
0.066,40,0.6674281129110644,0.00010525803369582087,0.6582995951417004
0.066,50,0.647896324969621,0.00024807666150583607,0.6331983805668017
0.1,-50,0.6309728260287568,0.0004971869416131036,0.6242914979757085
0.1,-40,0.6169329176400876,0.0007989730401697925,0.6210526315789474
0.1,-30,0.6049590106763163,0.0010925588533805541,0.6210526315789474
0.1,-20,0.5946049743013425,0.0013686224786931822,0.6307692307692307
0.1,-10,0.8634576164737934,-3.130423615704814e-05,0.3708502024291498
0.1,-9,0.8356616553891031,-5.556227235214983e-05,0.3708502024291498
0.1,-8,0.8128657363444529,-7.052872875035199e-05,0.3708502024291498
0.1,-7,0.7931680242222076,-7.927217321457292e-05,0.3708502024291498
